,trmt, tase , brde , casu , cane , cape , fopa , lane , nyfa , prim , crce ,myrmeam, myam , mypi , somo , stbr ,teim, pope 
bt1,T1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
ct1,T1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
dt1,T1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
ft1,T1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
gt1,T1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0
ht1,T1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
st1,T1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1
tt1,T1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
bt2,T2,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0
ct2,T2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
dt2,T2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
ft2,T2,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
gt2,T2,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0
ht2,T2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
st2,T2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
tt2,T2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
