"","u1","u2"
"wl",0.150460304642363,0.883999224960657
"rhw",0.227546775323636,-0.771421043610942
"rml",0.0268644071154181,-0.957218450394816
"rew",0.228664618134276,0.455899813137021
"rsl",0.596871228306662,0.184339650348694
"rfl",0.521375363209924,0.219137506821027
"rcl",0.603555923110521,-0.602180163447478
"ns_1",-0.503356105289269,-0.31980287125332
"ns_2",0.503356105289269,0.319802871253319
"diet_1",-0.0386211687698948,-0.509050504619167
"diet_2",-0.212049762905192,-0.167702092713924
"diet_3",0.301205009779563,0.299495820597019
"diet_4",-0.146259112183692,0.327957235453466
"rich",0.801881549156089,0.0431791792530401
"frich",0.144514721118962,-0.133755293261369
